ID	Source	Change	Target
Maya0235	Jbinen áalkab te' taam paarkéeo'	PERSON:1_PL	To'one' bino'on áalkab te' taam paarkéeo'
Maya0236	Jbinen áalkab te' taam paarkéeo'	PERSON:3_PL	Leti'o'obe' bino'ob áalkab te' taam paarkéeo'
Maya0204	Teche' ka bin xíimbal tu yotoch	TYPE:NEG	Teche' ma' ta bin xíimbal tu yotochi'
Maya0669	Teche' a k'aaba'e'	SUBTYPE:INT	Bix a k'aaba'
Maya0670	Teche' a k'aaba'e'	"TYPE:NEG, ASPECT:NA, PERSON:1_SI"	Ma' in k'aaba'i'
	Teche' a k'aaba'e'	TYPE:NEG	Teche' ma' a k'aaba'i'
	Teche' ma' a k'aaba'i'	PERSON:1_SI	Tene' ma' in k'aaba'i'
	Tene' ma' in k'aaba'i'	ASPECT:NA	Ma' in k'aaba'i'
Maya0705	Tu'ux k'íiwikil koonol ka jóok'ol koonol	ASPECT:CUS	Tu'ux k'íiwikil koonol suuk a jóok'ol koonol
Maya0706	Tu'ux k'íiwikil koonol ka jóok'ol koonol	ASPECT:COM	Tu'ux k'íiwikil koonol yaan a jóok'ol koonol
Maya0707	Tu'ux k'íiwikil koonol ka jóok'ol koonol	ASPECT:OBL	Tu'ux k'íiwikil koonol k'a'abéet a jóok'ol koonol
Maya0708	Tu'ux k'íiwikil koonol ka jóok'ol koonol	ASPECT:BEG	Tu'ux k'íiwikil koonol káaj a jóok'ol koonol
Maya0709	Tu'ux k'íiwikil koonol ka jóok'ol koonol	ASPECT:DES	Tu'ux k'íiwikil koonol taak a jóok'ol koonol
Maya0502	Tene' ts'oka'an wáaj in beel	PERSON:2_SI	Teche' ts'oka'an wáaj a beel
Maya0503	Tene' ts'oka'an wáaj in beel	PERSON:3_SI	Leti'e' ts'oka'an wáaj u beel
Maya0504	Tene' ts'oka'an wáaj in beel	PERSON:1_PL	To'one' ts'oka'an wáaj k beel
Maya0505	Tene' ts'oka'an wáaj in beel	PERSON:2_PL	Te'exe' ts'oka'an wáaj a beele'ex
Maya0506	Tene' ts'oka'an wáaj in beel	PERSON:3_PL	Leti'obe' ts'oka'an wáaj u beelo'ob
Maya0692	Leti'obe' ti' u taalo'obi'	TYPE:NEG	Leti'obe' ma' ti' u taalo'obi'
Maya0693	Leti'obe' ti' u taalo'obi'	SUBTYPE:INT	Ti' wáaj a taalo'obi'
Maya0370	Táan in suut tu naajil xook	PERSON:2_SI	Táan a suut tu naajil xook
Maya0371	Táan in suut tu naajil xook	PERSON:3_SI	Táan u suut tu naajil xook
Maya0372	Táan in suut tu naajil xook	PERSON:1_PL	Táan k suut tu naajil xook
Maya0373	Táan in suut tu naajil xook	PERSON:2_PL	Táan a suute'ex tu naajil xook
Maya0374	Táan in suut tu naajil xook	PERSON:3_PL	Táan u suuto'ob tu naajil xook
Maya0517	Tene' in k'aaba'e'	PERSON:2_SI	Teche' a k'aaba'e'
Maya0518	Tene' in k'aaba'e'	PERSON:3_SI	Leti'e' u k'aaba'e'
Maya0519	Tene' in k'aaba'e'	PERSON:1_PL	To'one' k k'aaba'e'
Maya0520	Tene' in k'aaba'e'	PERSON:1_PL	To'one' in k'aaba'one'
Maya0521	Tene' in k'aaba'e'	PERSON:2_PL	Te'exe' a k'aaba'exe'
Maya0522	Tene' in k'aaba'e'	PERSON:3_PL	Leti'obe' u k'aaba'obe'
Maya0167	Ma' wáaj jach k'a'abéet in bin merkaadoi'	PERSON:3_SI	Ma' wáaj jach k'a'abéet u bin merkaadoi'
Maya0168	Ma' wáaj jach k'a'abéet in bin merkaadoi'	PERSON:3_PL	Ma' wáaj jach k'a'abéet u bino'ob merkaadoi'
Maya0198	Yaan a bin paarkée	SUBTYPE:INT	Yaan wáaj a bin paarkée
Maya0677	Yaan ti' te'ex 17 ja'abo'ob	SUBTYPE:INT	Yaan wáaj ti' te'ex kex 17 ja'abo'ob
Maya0678	Yaan ti' te'ex 17 ja'abo'ob	"TYPE:NEG, SUBTYPE:INT"	Mina'an wáaj ti'ob 17 ja'abo'ob
Maya0352	K'aaynajen tu naajil xook	PERSON:2_SI	K'aaynajech tu naajil xook
Maya0353	K'aaynajen tu naajil xook	PERSON:3_PL	K'aaynajo'ob tu naajil xook
Maya0354	K'aaynajen tu naajil xook	PERSON:2_PL	K'aaynaje'ex tu naajil xook
Maya0609	Yaan wáaj a manik a najil	PERSON:3_SI	Yaan wáaj u manik u najil
Maya0610	Yaan wáaj a manik a najil	"TYPE:NEG, SUBTYPE:DEC, PERSON:3_SI"	Mix tu manik u najil
Maya0610a	Yaan wáaj u manik u najil	"TYPE:NEG, SUBTYPE:DEC"	Mix tu manik u najil
Maya0610b	Yaan wáaj u manik u najil	SUBTYPE:DEC	Yaan u manik u najil
Maya0610c	Yaan u manik u najil	TYPE:NEG	Mix tu manik u najil
Maya0147	Tene' ajkoonolen ichil merkaado	PERSON:3_SI	Leti'e' ajkoonol ichil merkaado
Maya0148	Tene' ajkoonolen ichil merkaado	PERSON:2_SI	Teche' ajkoonolech ichil merkaado
Maya0149	Tene' ajkoonolen ichil merkaado	PERSON:1_PL	To'one' ajkoonolo'on ichil merkaado
Maya0150	Tene' ajkoonolen ichil merkaado	PERSON:2_PL	Te'exe' ajkoonole'ex ichil merkaado
Maya0190	Jayp'éel k'iino'ob ka bin merkaado	PERSON:3_SI	Jayp'éel k'iino'ob ku bin merkaado
Maya0191	Jayp'éel k'iino'ob ka bin merkaado	PERSON:3_PL	Jayp'éel k'iino'ob ku bino'ob merkaado
Maya0192	Jayp'éel k'iino'ob ka bin merkaado	PERSON:2_PL	Jayp'éel k'iino'ob ka bine'ex merkaado
Maya0661	Ts'oka'an wáaj in beel	"TYPE:NEG, SUBTYPE:DEC"	Ma' ts'oka'an in beeli'
Maya0173	Teche' áak'ab wáaj ka bin merkaado	PERSON:3_SI	Leti'e' áak'ab wáaj ku bin merkaado
Maya0174	Teche' áak'ab wáaj ka bin merkaado	PERSON:1_PL	To'one' áak'ab wáaj k bin merkaado
Maya0175	Teche' áak'ab wáaj ka bin merkaado	PERSON:2_PL	Te'exe' áak'ab wáaj ka bine'ex merkaado
Maya0665	Múul kajakbal tu yéetel	TYPE:NEG	Ma' múul kajakbal tu yéeteli'
Maya0666	Múul kajakbal tu yéetel	SUBTYPE:INT	Múul kajakbal wáaj tu yéetel
Maya0207	Ta konaj a wotoch	SUBTYPE:INT	Ta konaj wáaj a wotoch
Maya0685	Ma' k'aja'anto'on buka'aj k ja'abili'	SUBTYPE:INT	Ma' wáaj k'aja'anto'on buka'aj k ja'abili'
Maya0200	Jsa'atech te' paarkéeo'	SUBTYPE:INT	Jsa'atech wáaj te' paarkéeo'
Maya0201	Jsa'atech te' paarkéeo'	"SUBTYPE:INT, ASPECT:NA, ADVTENSE:NA"	Bix a sa'atal paarkée
Maya0201a	Jsa'atech wáaj te' paarkéeo'	"ASPECT:NA, ADVTENSE:NA"	Bix a sa'atal paarkée
Maya0729	Táan in manik ja'as tu k'íiwikil koonol	ASPECT:HAB	Kin manik ja'as tu k'íiwikil koonol
Maya0730	Táan in manik ja'as tu k'íiwikil koonol	ASPECT:TER	Ts'o'ok in manik ja'as tu k'íiwikil koonol
Maya0731	Táan in manik ja'as tu k'íiwikil koonol	ASPECT:IMM	Táant in manik ja'as tu k'íiwikil koonole'
Maya0732	Táan in manik ja'as tu k'íiwikil koonol	ASPECT:OBL	K'a'abéet in manik ja'as tu k'íiwikil koonol
Maya0733	Táan in manik ja'as tu k'íiwikil koonol	ASPECT:COM	Yaan in manik ja'as tu k'íiwikil koonol
Maya0464	Tene' jbúulen	PERSON:2_SI	Teche' jbúulech
Maya0465	Tene' jbúulen	PERSON:3_SI	Leti'e' jbúulij
Maya0466	Tene' jbúulen	PERSON:1_PL	To'one' jbúulo'on
Maya0467	Tene' jbúulen	PERSON:2_PL	Te'exe' jbúule'ex
Maya0720	Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:PRG	Táan in manik ya'abach ba'alob tu k'íiwikil koonol
Maya0721	Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:TER	Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol
Maya0722	Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:COM	Yaan in manik ya'abach ba'alob tu k'íiwikil koonol
Maya0723	Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:INS	Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'
Maya0724	Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:OBL	K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol
Maya0725	Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:BEG	Káaj in manik ya'abach ba'alob tu k'íiwikil koonol
Maya0726	Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:CUS	Suuk in manik ya'abach ba'alob tu k'íiwikil koonol
Maya0727	Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:DES	Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol
Maya0728	Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:IMM	Táant in manik ya'abach ba'alob tu k'íiwikil koonole'
Maya0611	Ta konaj a najil	SUBTYPE:INT	Ta konaj wáaj a najil
Maya0311	Jweenen ich kool	PERSON:2_SI	Jweenech ich kool
Maya0312	Jweenen ich kool	PERSON:3_PL	Jweeno'ob ich kool
Maya0313	Jweenen ich kool	PERSON:2_PL	Jweene'ex ich kool
Maya0323	Tin meentik janal ich kool	PERSON:2_SI	Ta meentik janal ich kool
Maya0324	Tin meentik janal ich kool	PERSON:3_SI	Tu meentik janal ich kool
Maya0325	Tin meentik janal ich kool	PERSON:3_PL	Tu meentiko'ob janal ich kool
Maya0326	Tin meentik janal ich kool	PERSON:2_PL	Ta meentike'ex janal ich kool
Maya0430	Yaan wáaj a báaxal tu naajil báaxal	PERSON:3_SI	Yaan wáaj u báaxal tu naajil báaxal
Maya0431	Yaan wáaj a báaxal tu naajil báaxal	PERSON:1_PL	Yaan wáaj k báaxal tu naajil báaxal
Maya0432	Yaan wáaj a báaxal tu naajil báaxal	PERSON:2_PL	Yaan wáaj a báaxale'ex tu naajil báaxal
Maya0433	Yaan wáaj a báaxal tu naajil báaxal	PERSON:3_PL	Yaan wáaj u báaxalo'ob tu naajil báaxal
Maya0156	Jach k'a'abéet a bin merkaado	PERSON:1_SI	Jach k'a'abéet in bin merkaado
Maya0157	Jach k'a'abéet a bin merkaado	PERSON:3_SI	Jach k'a'abéet u bin merkaado
Maya0158	Jach k'a'abéet a bin merkaado	PERSON:3_PL	Jach k'a'abéet u bino'ob merkaado
Maya0159	Jach k'a'abéet a bin merkaado	PERSON:2_PL	Jach k'a'abéet a bine'ex merkaado
Maya0686	Tu u yojel u ja'abili'	TYPE:NEG	Ma' u yojel u ja'abili'
Maya0497	Ma' ts'oka'an in beeli'	PERSON:2_SI	Ma' ts'oka'an a beeli'
Maya0498	Ma' ts'oka'an in beeli'	PERSON:3_SI	Ma' ts'oka'an u beeli'
Maya0499	Ma' ts'oka'an in beeli'	PERSON:1_PL	Ma' ts'oka'an k beeli'
Maya0500	Ma' ts'oka'an in beeli'	PERSON:2_PL	Ma' ts'oka'an a beele'exi'
Maya0501	Ma' ts'oka'an in beeli'	PERSON:3_PL	Ma' ts'oka'an u beelo'obi'
Maya0559	Tin núukaj buka'aj in ja'abil	PERSON:2_SI	Ta núukaj buka'aj a ja'abil
Maya0560	Tin núukaj buka'aj in ja'abil	PERSON:3_SI	Tu núukaj buka'aj u ja'abil
Maya0561	Tin núukaj buka'aj in ja'abil	PERSON:1_PL	Tek núukaj buka'aj k ja'abil
Maya0562	Tin núukaj buka'aj in ja'abil	PERSON:2_PL	Ta núukaje'ex buka'aj a ja'abile'ex
Maya0563	Tin núukaj buka'aj in ja'abil	PERSON:3_PL	Tu núukaj buka'aj u ja'abilo'ob
Maya0205	Ta manaj a wotoch	SUBTYPE:INT	Ta manaj wáaj a wotoch
Maya0206	Ta manaj a wotoch	"TYPE:NEG, PERSON:1_SI"	Ma' tin manaj in wotochi'
Maya0254	Tene' kin bin xíimbal ta wotoch	PERSON:3_SI	Leti'e' ku bin xíimbal ta wotoch
Maya0255	Tene' kin bin xíimbal ta wotoch	PERSON:2_PL	Te'exe' ka bine'ex xíimbal ta wotoch
Maya0256	Tene' kin bin xíimbal ta wotoch	PERSON:1_PL	To'one' k bin xíimbal ta wotoch
Maya0742	Kin wilikech te' tu kúuchil báaxalo'	ASPECT:IMM	Táant in wilikech te' tu kúuchil báaxalo'
Maya0743	Kin wilikech te' tu kúuchil báaxalo'	ASPECT:COM	Yaan in wilikech te' tu kúuchil báaxalo'
Maya0346	kin ts'íib tu naajil xook	PERSON:2_SI	ka ts'íib tu naajil xook
Maya0347	kin ts'íib tu naajil xook	PERSON:2_PL	Ka ts'íibe'ex tu naajil xook
Maya0348	kin ts'íib tu naajil xook	PERSON:3_PL	ku ts'íibo'ob tu naajil xook
Maya0412	Yaan in xook tu naajil xook	PERSON:2_SI	Yaan a xook tu naajil xook
Maya0413	Yaan in xook tu naajil xook	PERSON:3_SI	Yaan u xook tu naajil xook
Maya0414	Yaan in xook tu naajil xook	PERSON:1_PL	Yaan k xook tu naajil xook
Maya0415	Yaan in xook tu naajil xook	PERSON:2_PL	Yaan a xooke'ex tu naajil xook
Maya0416	Yaan in xook tu naajil xook	PERSON:3_PL	Yaan u xooko'ob tu naajil xook
Maya0145	Kin bin koonol tu k'íiwikil koonol	ASPECT:TER	Ts'o'ok in bin koonol tu k'íiwikil koonol
Maya0146	Kin bin koonol tu k'íiwikil koonol	ASPECT:INS	Je'el in bin koonol tu k'íiwikil koonole'
Maya0209	Táan in suut koonol merkaado	ASPECT:COM	Yaan in suut koonol merkaado
Maya0210	Táan in suut koonol merkaado	ASPECT:DES	Taak in suut koonol merkaado
Maya0211	Táan in suut koonol merkaado	ASPECT:OBL	K'a'abéet in suut koonol merkaado
Maya0212	Táan in suut koonol merkaado	ASPECT:HAB	Kin suut koonol merkaado
Maya0213	Táan in suut koonol merkaado	ASPECT:CUS	Suuk in suut koonol merkaado
Maya0214	Táan in suut koonol merkaado	ASPECT:TER	Ts'o'ok in suut koonol merkaado
Maya0215	Táan in suut koonol merkaado	ASPECT:BEG	Káaj in suut koonol merkaado
Maya0216	Táan in suut koonol merkaado	ASPECT:IMM	Táant in suut koonol merkaadoe'
Maya0574	Tene' ti' kajakbalen tu yotoche'	PERSON:2_SI	Teche' ti' kajakbalech tu yotoche'
Maya0575	Tene' ti' kajakbalen tu yotoche'	PERSON:3_SI	Leti'e' ti' kajakbal tu yotoche'
Maya0576	Tene' ti' kajakbalen tu yotoche'	PERSON:1_PL	To'one' ti' kajakbalo'on tu yotoche'
Maya0577	Tene' ti' kajakbalen tu yotoche'	PERSON:2_PL	Te'exe' ti' kajakbale'ex tu yotoche'
Maya0578	Tene' ti' kajakbalen tu yotoche'	PERSON:3_PL	Leti'obe' ti' kajakbalo'ob tu yotoche'
Maya0362	Tene' yaan ten xook ti' español	PERSON:2_SI	Teche' yaan tech xook ti' español
Maya0363	Tene' yaan ten xook ti' español	PERSON:3_SI	Leti'e' yaan xook ti' español
Maya0364	Tene' yaan ten xook ti' español	PERSON:1_PL	To'onen yaanto'on xook ti' español
Maya0365	Tene' yaan ten xook ti' español	PERSON:2_PL	Te'exe' yaan te'ex xook ti' español
Maya0641	Ma'alob jk'a'amiken tu naajil xook	TYPE:NEG	Ma' ma'alob jk'a'amiken naajil xooki'
